877 1565
575 342 0.253
342 373 0.528
373 210 0.329
210 19 0.626
19 4 0.248
4 360 0.022
360 586 1.085
586 73 0.310
73 171 0.263
171 476 0.858
476 211 0.283
211 385 0.305
385 400 0.994
400 540 0.926
540 453 0.208
453 764 0.188
764 267 0.521
267 251 0.297
251 406 0.287
406 527 0.402
527 94 0.807
94 260 0.374
260 745 0.857
745 737 0.459
737 518 0.253
518 61 0.400
61 559 0.959
559 828 0.307
828 632 0.036
408 593 0.072
593 226 0.656
226 467 0.056
467 281 0.237
281 122 0.062
122 82 0.330
82 453 0.038
453 540 0.208
540 463 0.331
463 99 0.546
99 400 0.054
400 756 0.912
756 742 0.759
742 733 0.301
733 286 0.542
286 113 0.534
113 574 0.106
574 616 1.619
616 582 0.323
582 13 0.040
13 462 0.452
462 669 0.114
669 601 0.180
601 225 0.037
225 319 0.174
319 181 0.658
181 285 0.665
285 802 0.034
802 461 0.741
461 368 0.229
368 403 1.005
403 34 0.968
34 847 1.082
847 248 0.726
248 864 86.496
870 872 0.555
872 871 0.180
871 869 0.211
869 181 86.279
181 616 0.186
616 275 0.439
275 650 0.318
650 18 0.110
18 324 0.553
324 728 0.053
728 25 1.098
25 194 0.031
194 635 0.372
635 220 0.896
220 284 0.195
284 84 0.052
84 147 0.922
147 136 0.056
136 839 0.291
839 39 0.055
39 484 0.326
484 693 1.186
693 387 0.051
387 439 0.634
439 715 0.042
715 309 0.207
309 411 0.042
411 260 0.436
260 838 0.072
838 745 0.791
745 204 0.056
204 737 0.440
737 117 0.069
117 518 0.198
518 86 0.077
86 61 0.343
61 332 0.050
263 719 0.109
719 585 0.546
585 438 1.179
438 609 11.245
609 704 1.677
704 782 0.740
782 21 0.941
21 556 1.121
556 271 0.821
271 740 0.665
740 826 0.692
826 435 0.250
435 60 0.645
60 140 0.663
140 598 0.304
598 221 0.629
221 306 0.504
306 773 0.328
773 386 0.577
386 468 0.495
468 90 0.355
90 545 0.542
545 639 0.490
639 729 0.318
729 338 0.663
338 530 0.873
530 215 1.253
215 623 1.481
623 83 0.152
83 875 0.666
875 460 5.651
460 410 0.739
410 27 0.968
27 57 0.354
57 447 0.854
447 804 0.469
804 6 0.397
6 627 2.215
627 562 0.051
562 608 0.291
608 521 0.811
521 261 0.098
261 551 0.570
551 323 0.731
323 417 0.210
417 800 0.103
800 735 0.350
541 486 0.284
486 130 0.282
130 289 0.354
289 701 0.633
701 224 0.309
224 505 0.571
505 698 0.340
698 534 0.244
534 511 0.269
511 638 0.383
638 542 0.415
542 448 0.258
448 506 0.403
506 152 0.386
152 408 0.411
408 15 0.428
15 53 0.327
53 258 0.421
258 357 0.322
357 437 0.473
437 806 0.591
806 295 0.387
295 651 0.279
651 211 0.386
211 476 0.283
476 7 0.615
7 214 0.473
214 590 0.442
590 73 0.329
73 481 0.520
481 216 0.614
216 832 0.332
832 514 0.317
514 678 0.394
678 529 0.726
529 541 1.619
328 643 0.190
643 697 0.079
697 89 0.227
89 171 1.410
171 476 0.858
476 666 0.075
666 820 0.296
820 385 0.205
385 452 0.777
452 400 0.225
400 540 0.926
540 453 0.208
453 764 0.188
764 775 0.522
775 654 0.253
654 217 0.276
217 307 0.445
307 387 0.508
387 411 0.469
411 309 0.042
309 439 0.176
439 260 0.331
260 204 0.859
204 745 0.056
745 877 1.091
877 325 0.452
325 239 0.986
239 785 2.735
652 504 23.153
504 785 0.621
413 403 0.971
403 368 1.005
368 530 13.162
530 215 1.253
215 623 1.481
623 460 6.081
460 155 0.430
155 708 0.910
708 558 1.004
558 27 0.315
27 841 0.593
841 672 0.739
672 58 0.786
58 562 2.041
562 551 1.765
551 323 0.731
323 417 0.210
417 800 0.103
800 735 0.350
735 157 0.836
157 391 0.508
391 584 0.044
584 288 0.218
288 526 0.067
526 544 0.271
544 685 0.540
685 342 0.026
342 47 0.237
47 213 0.716
213 236 0.103
236 207 0.366
207 751 0.552
751 723 0.076
723 116 0.661
116 33 5.634
33 114 0.420
114 412 0.534
412 795 0.476
795 195 0.307
195 327 0.461
327 716 0.513
716 280 0.181
280 752 0.588
752 625 0.714
625 835 1.267
835 444 0.876
444 583 0.939
583 123 1.360
123 498 1.035
498 613 1.931
613 799 1.185
799 719 0.574
719 263 0.109
263 581 0.471
687 151 0.306
151 664 0.380
664 341 0.559
341 334 0.138
334 798 1.902
798 240 2.186
240 722 0.453
722 375 1.251
375 122 0.663
122 467 0.268
467 104 0.387
104 593 0.341
593 479 0.426
479 757 1.079
757 706 0.541
706 743 0.146
743 753 0.234
753 264 0.290
264 224 0.545
224 6 2.591
6 672 0.440
672 146 0.346
146 57 0.922
605 358 0.167
358 32 0.690
32 92 0.049
92 289 0.949
289 130 0.354
130 262 0.060
262 486 0.308
486 814 0.152
814 784 0.354
784 787 0.705
787 678 0.229
678 520 0.411
520 103 0.405
103 529 0.205
529 420 0.253
420 23 0.134
23 3 0.929
3 2 0.123
2 538 0.013
538 399 0.044
399 138 0.233
138 19 0.050
19 291 0.582
291 210 0.054
210 544 0.317
544 373 0.033
373 348 0.500
348 394 0.261
394 79 0.045
79 642 0.436
642 91 0.057
91 443 0.357
443 576 0.055
576 509 0.239
509 777 0.050
777 430 0.312
430 370 0.049
370 831 0.178
831 276 0.091
276 862 84.090
301 748 0.331
748 630 0.724
630 658 0.287
658 72 0.806
72 170 0.112
170 359 0.204
359 632 0.837
632 828 0.036
828 559 0.307
559 579 4.131
579 232 0.066
232 346 0.558
346 837 1.442
837 189 1.206
189 390 0.588
390 35 0.771
35 496 0.108
496 428 0.528
428 118 0.042
118 121 0.366
121 824 0.087
824 190 0.477
190 128 0.171
128 372 0.835
372 273 0.153
273 383 0.204
383 563 0.133
563 557 0.922
557 184 0.324
184 141 0.660
141 532 0.345
532 863 88.856
677 504 0.992
504 785 0.621
785 813 2.348
813 239 0.387
239 703 0.895
703 290 1.044
290 755 0.637
755 711 0.563
711 218 0.392
218 522 0.530
522 758 0.797
758 480 0.607
480 296 0.401
296 503 0.580
503 264 0.698
264 224 0.545
224 289 0.758
289 814 0.545
814 149 0.291
605 130 2.160
130 262 0.060
262 486 0.308
486 814 0.152
814 490 0.592
490 31 0.484
31 649 0.184
649 283 0.371
283 305 0.560
305 688 0.700
688 855 0.329
855 684 0.423
684 1 0.714
1 355 0.027
355 22 0.059
22 472 0.198
472 513 0.465
513 102 0.269
102 44 0.759
44 18 0.048
18 275 0.256
275 616 0.439
616 461 0.496
461 34 2.198
34 854 6.864
854 843 0.138
616 802 0.828
802 582 0.734
582 62 0.572
62 13 0.546
13 319 0.553
319 225 0.174
225 601 0.037
601 669 0.180
669 574 1.007
574 113 0.106
113 733 0.254
733 286 0.542
286 760 0.864
760 390 1.233
390 404 0.286
404 115 0.138
115 189 0.177
189 629 0.215
629 37 0.621
37 346 0.733
346 232 0.558
232 559 4.184
559 665 0.045
665 632 0.292
632 170 1.033
170 87 0.505
87 589 0.130
589 230 0.490
230 199 0.426
199 148 0.145
148 175 0.394
175 153 6.763
622 531 0.613
531 98 0.429
98 160 0.626
160 279 0.492
279 536 0.837
536 788 1.082
788 805 1.366
805 549 1.366
549 848 5.418
848 636 1.015
636 471 1.222
471 14 0.678
14 219 1.195
219 314 0.913
314 186 0.580
186 691 0.824
691 561 1.115
561 208 1.342
208 228 1.424
228 699 0.553
699 405 0.780
405 127 1.039
127 606 0.335
606 656 0.939
656 812 1.138
812 298 0.761
298 628 0.263
628 470 0.451
470 187 1.485
187 159 0.324
159 154 0.661
154 501 0.988
501 247 0.220
247 724 0.606
724 30 0.918
30 604 0.177
604 558 0.678
558 27 0.315
27 841 0.593
841 447 0.456
447 672 0.322
672 58 0.786
58 804 0.616
804 32 2.815
32 605 0.856
241 524 0.619
524 69 0.772
69 530 1.548
530 215 1.253
215 623 1.481
623 83 0.152
83 875 0.666
875 460 5.651
460 708 0.723
708 558 1.004
558 146 1.319
146 564 0.225
564 252 0.221
252 70 2.359
70 262 0.687
262 130 0.060
130 814 0.231
814 486 0.152
486 223 0.172
223 697 1.196
697 283 0.118
283 431 0.117
431 736 0.677
736 111 0.583
111 497 0.682
497 783 0.473
631 142 0.319
142 181 6.136
181 350 0.550
350 275 0.089
275 18 0.256
18 441 0.884
441 162 0.062
162 80 0.308
80 36 0.464
36 132 0.626
132 783 0.645
783 427 0.812
427 696 0.353
696 819 0.275
819 757 0.405
757 152 1.065
152 769 0.505
